INDEX:1000:<ulong>,diagnostic:1000:<string>
916,000100100101
917,001101011111
918,011010001010
919,010000111110
920,100010111011
921,101000100101
922,111111101111
923,111111111110
924,110111100111
925,001011110001
926,001101000010
927,010111010011
928,101101101110
929,100110001011
930,111100001111
931,101010011010
932,000110111111
933,011110000100
934,111100110011
935,111110111101
936,011001101111
937,110110011001
938,111010001101
939,010000001101
940,100001111101
941,100101111111
942,100111110111
943,110001000001
944,110111001101
945,011001110100
946,010001110101
947,100010111110
948,010010010010
949,000010111101
950,101001101100
951,100011111100
952,110010111010
953,100101011011
954,110110101011
955,101101010000
956,011110100011
957,101100111111
958,110001100001
959,110100111010
960,011000100011
961,011000100010
962,011111101111
963,101000010110
964,000101000010
965,001000100001
966,111101110010
967,000111000001
968,101000111000
969,100110100011
970,001001001111
971,110101011010
972,101011101101
973,100011000110
974,100100111000
975,001111001111
976,010100010100
977,000100100100
978,010100101011
979,010001100000
980,011010110111
981,111110111000
982,110100101001
983,010100011000
984,110110101110
985,010000101001
986,000111001010
987,001001100111
988,110000110110
989,011000101010
990,000011110100
991,111110010000
992,010000101111
993,100111010101
994,110110110000
995,110100101110
996,111000110010
997,011110001100
998,000001100100
999,111110000111
1000,001000011001
