INDEX:1000:<ulong>,direction:1000:<string>,input:1000:<int>
521,up,5
522,down,9
523,up,7
524,down,4
525,forward,6
526,down,5
527,forward,4
528,up,8
529,down,4
530,down,7
531,forward,3
532,down,6
533,down,1
534,forward,3
535,down,4
536,up,6
537,up,5
538,up,7
539,forward,5
540,down,4
541,forward,7
542,up,1
543,down,4
544,forward,4
545,down,2
546,down,6
547,forward,1
548,up,3
549,up,8
550,forward,6
551,forward,6
552,down,5
553,forward,7
554,down,6
555,down,8
556,forward,6
557,down,6
558,forward,3
559,forward,5
560,down,9
561,down,5
562,up,4
563,down,5
564,down,1
565,forward,1
566,forward,5
567,down,2
568,forward,5
569,forward,2
570,forward,5
571,up,3
572,forward,5
573,up,8
574,forward,9
575,forward,3
576,down,2
577,up,2
578,forward,7
579,down,5
580,up,1
581,down,3
582,down,7
583,up,2
584,forward,8
585,forward,6
586,forward,1
587,forward,6
588,forward,6
589,down,5
590,forward,4
591,down,5
592,forward,9
593,forward,7
594,down,7
595,down,7
596,down,9
597,forward,4
598,down,4
599,forward,3
600,down,6
601,forward,5
602,down,9
603,forward,6
604,up,7
605,down,3
606,up,4
607,up,4
608,down,1
609,down,2
610,up,5
611,forward,6
612,forward,2
613,down,7
614,up,6
615,up,3
616,down,8
617,forward,1
618,down,3
619,up,9
620,down,2
621,forward,6
622,forward,1
623,forward,4
624,up,1
625,down,8
626,down,2
627,down,9
628,down,5
629,forward,3
630,down,1
631,down,6
632,down,5
633,down,3
634,forward,1
635,forward,9
636,up,2
637,down,3
638,down,3
639,down,9
640,down,7
641,forward,6
642,forward,8
643,forward,4
644,up,7
645,down,2
646,forward,3
647,forward,1
648,up,4
649,forward,8
650,up,9
651,forward,8
652,forward,2
653,down,5
654,forward,2
655,down,6
656,down,6
657,down,4
658,forward,8
659,down,6
660,forward,2
661,forward,8
662,down,7
663,down,6
664,forward,2
665,down,1
666,down,8
667,forward,2
668,forward,9
669,up,6
670,forward,6
671,down,3
672,down,2
673,up,5
674,up,6
675,down,6
676,up,7
677,forward,5
678,forward,7
679,down,1
680,forward,7
681,forward,9
682,down,3
683,forward,4
684,forward,5
685,down,1
686,up,3
687,forward,2
688,up,5
689,forward,2
690,forward,1
691,down,5
692,down,4
693,down,8
694,up,8
695,forward,3
696,down,3
697,forward,4
698,down,6
699,up,8
700,down,5
701,up,2
702,down,1
703,up,3
704,forward,8
705,up,6
706,forward,9
707,up,9
708,down,5
709,forward,2
710,forward,9
711,up,6
712,forward,1
713,down,2
714,forward,4
715,forward,4
716,forward,1
717,forward,5
718,forward,1
719,forward,4
720,down,5
721,down,1
722,down,2
723,down,2
724,forward,7
725,down,7
726,down,7
727,down,4
728,down,7
729,down,4
730,down,3
731,up,7
732,up,1
733,forward,2
734,forward,3
735,down,4
736,down,5
737,forward,9
738,up,7
739,forward,6
740,down,1
741,forward,6
742,forward,6
743,forward,8
744,down,3
745,forward,2
746,down,6
747,forward,9
748,up,6
749,up,6
750,forward,7
751,down,5
752,down,6
753,up,3
754,down,5
755,up,4
756,forward,3
757,down,7
758,forward,9
759,up,1
760,down,1
761,up,6
762,down,3
763,up,2
764,down,5
765,forward,3
766,forward,6
767,down,9
768,down,4
769,forward,7
770,down,1
771,up,1
772,forward,3
773,forward,5
774,up,7
775,down,3
776,up,9
777,up,9
778,down,4
779,up,4
780,forward,8
781,up,9
782,down,8
783,forward,6
784,forward,4
785,forward,9
786,forward,8
787,down,2
788,forward,3
789,forward,2
790,down,3
791,up,1
792,forward,6
793,down,3
794,down,7
795,down,3
796,down,5
797,down,9
798,up,9
799,forward,8
800,forward,6
801,down,8
802,forward,3
803,down,4
804,down,2
805,down,9
806,forward,4
807,forward,2
808,up,4
809,forward,1
810,up,8
811,up,1
812,down,4
813,up,2
814,down,1
815,up,7
816,down,2
817,down,4
818,up,4
819,forward,2
820,down,3
821,forward,2
822,forward,3
823,down,5
824,forward,9
825,forward,7
826,down,1
827,up,3
828,down,3
829,forward,3
830,down,6
831,forward,5
832,up,3
833,up,3
834,up,1
835,forward,7
836,forward,1
837,forward,2
838,forward,2
839,down,4
840,up,7
841,forward,1
842,forward,1
843,forward,6
844,down,8
845,up,8
846,down,8
847,down,4
848,down,6
849,forward,8
850,forward,4
851,forward,5
852,down,2
853,down,3
854,forward,7
855,down,6
856,forward,4
857,forward,1
858,up,7
859,up,5
860,up,2
861,forward,1
862,forward,8
863,forward,2
864,up,9
865,forward,4
866,forward,5
867,down,2
868,forward,5
869,forward,7
870,down,3
871,forward,1
872,down,3
873,up,5
874,up,2
875,up,2
876,up,2
877,forward,4
878,forward,4
879,forward,8
880,forward,2
881,down,3
882,up,7
883,down,4
884,down,2
885,down,7
886,forward,2
887,down,2
888,forward,7
889,up,9
890,up,7
891,forward,7
892,forward,7
893,down,3
894,down,4
895,up,4
896,down,2
897,down,8
898,forward,4
899,down,1
900,up,6
901,forward,4
902,down,2
903,up,8
904,down,1
905,down,8
906,down,6
907,up,9
908,forward,4
909,up,1
910,down,2
911,down,9
912,down,7
913,down,4
914,down,8
915,down,8
916,up,1
917,down,5
918,up,5
919,down,7
920,up,7
921,forward,5
922,down,3
923,forward,7
924,up,5
925,down,3
926,forward,9
927,up,5
928,down,7
929,forward,8
930,forward,8
931,down,2
932,forward,7
933,forward,8
934,down,4
935,up,7
936,down,2
937,up,7
938,forward,5
939,down,1
940,down,3
941,forward,9
942,up,4
943,forward,6
944,forward,4
945,down,5
946,down,7
947,forward,2
948,forward,4
949,down,2
950,forward,1
951,down,5
952,up,2
953,down,8
954,down,1
955,down,4
956,down,8
957,down,6
958,forward,9
959,forward,2
960,forward,6
961,forward,4
962,down,1
963,forward,8
964,up,4
965,forward,6
966,down,4
967,forward,4
968,forward,3
969,forward,6
970,forward,9
971,forward,8
972,down,1
973,forward,5
974,down,8
975,forward,7
976,up,1
977,down,3
978,up,6
979,forward,5
980,forward,8
981,forward,8
982,forward,5
983,forward,5
984,forward,1
985,up,9
986,forward,7
987,up,3
988,down,2
989,down,4
990,forward,6
991,up,2
992,forward,5
993,up,8
994,forward,8
995,forward,2
996,forward,6
997,forward,3
998,up,4
999,forward,3
1000,forward,6
